0.342,0.002,0.3569,0.0021,,,,,
0.3467,0.002,0.4011,0.0022,,0.34893,0.002018,0.357135,0.002064
0.3555,0.0021,0.2996,0.0018,,,,,
0.3426,0.002,0.3231,0.0019,,,,,
0.3847,0.0022,0.3244,0.0019,,,,,
0.3613,0.0021,0.394,0.0022,,,,,
0.379,0.0022,0.3694,0.0021,,,,,
0.3748,0.0021,0.3413,0.002,,,,,
0.378,0.0022,0.3804,0.0022,,,,,
0.3406,0.002,0.3726,0.0021,,,,,
0.3696,0.0021,0.4035,0.0023,,,,,
0.3647,0.0021,0.3796,0.0022,,,,,
0.3712,0.0021,0.3326,0.002,,,,,
0.3734,0.0021,0.3431,0.002,,,,,
0.3689,0.0021,0.3467,0.002,,,,,
0.3735,0.0021,0.3777,0.0022,,,,,
0.3649,0.0021,0.3456,0.002,,,,,
0.3919,0.0022,0.3956,0.0022,,,,,
0.3768,0.0021,0.3324,0.002,,,,,
0.3923,0.0022,0.378,0.0022,,,,,
0.3312,0.002,0.3366,0.002,,,,,
0.0662,0.0005,0.3903,0.0022,,,,,
0.355,0.0021,0.3866,0.0022,,,,,
0.3445,0.002,0.3811,0.0022,,,,,
0.3777,0.0022,0.3556,0.0021,,,,,
0.3509,0.002,0.3656,0.0021,,,,,
0.3014,0.0018,0.3166,0.0019,,,,,
0.3585,0.0021,0.3839,0.0022,,,,,
0.3311,0.002,0.3388,0.002,,,,,
0.3323,0.002,0.3671,0.0021,,,,,
0.3505,0.002,0.3321,0.002,,,,,
0.3779,0.0022,0.3198,0.0019,,,,,
0.0693,0.0005,0.37,0.0021,,,,,
0.3596,0.0021,0.3255,0.0019,,,,,
0.3083,0.0018,0.3678,0.0021,,,,,
0.381,0.0022,0.3317,0.002,,,,,
0.3483,0.002,0.341,0.002,,,,,
0.3477,0.002,0.3768,0.0021,,,,,
0.3594,0.0021,0.3422,0.002,,,,,
0.3587,0.0021,0.3677,0.0021,,,,,
0.3763,0.0021,0.3886,0.0022,,,,,
0.3855,0.0022,0.376,0.0021,,,,,
0.3446,0.002,0.3981,0.0022,,,,,
0.3151,0.0019,0.3097,0.0019,,,,,
0.3398,0.002,0.3287,0.0019,,,,,
0.3576,0.0021,0.3662,0.0021,,,,,
0.3633,0.0021,0.3371,0.002,,,,,
0.3489,0.002,0.3593,0.0021,,,,,
0.3302,0.0019,0.3849,0.0022,,,,,
0.3572,0.0021,0.3708,0.0021,,,,,
0.3413,0.002,0.3179,0.0019,,,,,
0.3542,0.0021,0.3243,0.0019,,,,,
0.3271,0.0019,0.3823,0.0022,,,,,
0.3705,0.0021,0.3701,0.0021,,,,,
0.3724,0.0021,0.3733,0.0021,,,,,
0.3201,0.0019,0.3249,0.0019,,,,,
0.3815,0.0022,0.3506,0.002,,,,,
0.3839,0.0022,0.3102,0.0019,,,,,
0.3224,0.0019,0.34,0.002,,,,,
0.3627,0.0021,0.3973,0.0022,,,,,
0.3837,0.0022,0.3673,0.0021,,,,,
0.3302,0.0019,0.3988,0.0022,,,,,
0.3591,0.0021,0.3431,0.002,,,,,
0.3743,0.0021,0.3542,0.0021,,,,,
0.3625,0.0021,0.3117,0.0019,,,,,
0.355,0.0021,0.3941,0.0022,,,,,
0.3643,0.0021,0.3478,0.002,,,,,
0.3599,0.0021,0.382,0.0022,,,,,
0.3989,0.0022,0.3066,0.0018,,,,,
0.3809,0.0022,0.3771,0.0021,,,,,
0.3728,0.0021,0.3331,0.002,,,,,
0.3631,0.0021,0.3331,0.002,,,,,
0.3754,0.0021,0.3853,0.0022,,,,,
0.3534,0.002,0.3763,0.0021,,,,,
0.3597,0.0021,0.3525,0.002,,,,,
0.3459,0.002,0.3835,0.0022,,,,,
0.3697,0.0021,0.3902,0.0022,,,,,
0.3277,0.0019,0.3764,0.0021,,,,,
0.3586,0.0021,0.3387,0.002,,,,,
0.3342,0.002,0.3588,0.0021,,,,,
0.3654,0.0021,0.3883,0.0022,,,,,
0.3394,0.002,0.3649,0.0021,,,,,
0.3391,0.002,0.3107,0.0019,,,,,
0.0702,0.0005,0.3375,0.002,,,,,
0.3784,0.0022,0.3409,0.002,,,,,
0.3851,0.0022,0.3698,0.0021,,,,,
0.3507,0.002,0.3438,0.002,,,,,
0.3086,0.0018,0.36,0.0021,,,,,
0.3715,0.0021,0.3128,0.0019,,,,,
0.3725,0.0021,0.3453,0.002,,,,,
0.3388,0.002,0.3448,0.002,,,,,
0.342,0.002,0.365,0.0021,,,,,
0.3413,0.002,0.3043,0.0018,,,,,
0.3676,0.0021,0.4119,0.0023,,,,,
0.318,0.0019,0.3428,0.002,,,,,
0.3906,0.0022,0.3773,0.0021,,,,,
0.3537,0.002,0.3961,0.0022,,,,,
0.3765,0.0021,0.3672,0.0021,,,,,
0.3687,0.0021,0.3573,0.0021,,,,,
0.3691,0.0021,0.3575,0.0021,,,,,
