CA_IoU,CA_Dice Coefficient,CA-RFA_IoU,CA-RFA_Dice Coefficient
0.1427,0.001,0.1186,0.0008
0.0202,0.0002,0.0027,0.0
0.0874,0.0006,0.009,0.0001
0.1446,0.001,0.0372,0.0003
0.1456,0.001,0.2274,0.0015
0.0372,0.0003,0.1189,0.0008
0.0348,0.0003,0.1114,0.0008
0.1203,0.0008,0.2275,0.0015
0.0026,0.0,0.1472,0.001
0.1457,0.001,0.2659,0.0016
0.0587,0.0004,0.365,0.0021
0.1571,0.0011,0.0043,0.0
0.1142,0.0008,0.1547,0.0011
0.0268,0.0002,0.1186,0.0008
0.1014,0.0007,0.0,0.0
0.0927,0.0007,0.2709,0.0017
0.1278,0.0009,0.1935,0.0013
0.1415,0.001,0.1502,0.001
0.1175,0.0008,0.0222,0.0002
0.1219,0.0009,0.2732,0.0017
0.1461,0.001,0.0174,0.0001
0.1446,0.001,0.0431,0.0003
0.091,0.0007,0.1385,0.001
0.1384,0.001,0.1279,0.0009
0.0596,0.0004,0.0842,0.0006
0.0882,0.0006,0.0862,0.0006
0.0847,0.0006,0.0168,0.0001
0.1075,0.0008,0.0361,0.0003
0.1451,0.001,0.1234,0.0009
0.1498,0.001,0.2155,0.0014
0.1381,0.001,0.0373,0.0003
0.0069,0.0001,0.1516,0.001
0.1318,0.0009,0.1239,0.0009
0.1499,0.001,0.257,0.0016
0.1299,0.0009,0.1373,0.0009
0.1353,0.0009,0.2151,0.0014
0.0282,0.0002,0.0075,0.0001
0.0,0.0,0.1975,0.0013
0.0413,0.0003,0.0404,0.0003
0.1146,0.0008,0.0896,0.0006
0.1358,0.0009,0.0,0.0
0.058,0.0004,0.087,0.0006
0.1464,0.001,0.2219,0.0014
0.0179,0.0001,0.1549,0.0011
0.1211,0.0008,0.0705,0.0005
0.0014,0.0,0.0225,0.0002
0.0968,0.0007,0.104,0.0007
0.1389,0.001,0.073,0.0005
0.1174,0.0008,0.0893,0.0006
0.1281,0.0009,0.0015,0.0
0.1411,0.001,0.1972,0.0013
0.088,0.0006,0.3028,0.0018
0.1472,0.001,0.1582,0.0011
0.0266,0.0002,0.1748,0.0012
0.1411,0.001,0.1456,0.001
0.1406,0.001,0.0885,0.0006
0.004,0.0,0.1104,0.0008
0.014,0.0001,0.1047,0.0007
0.1445,0.001,0.1234,0.0009
0.0003,0.0,0.1926,0.0013
0.0588,0.0004,0.2194,0.0014
0.0397,0.0003,0.2182,0.0014
0.143,0.001,0.1337,0.0009
0.0833,0.0006,0.0,0.0
0.1152,0.0008,0.1142,0.0008
0.0,0.0,0.0107,0.0001
0.0201,0.0002,0.0,0.0
0.0122,0.0001,0.1488,0.001
0.0186,0.0001,0.1323,0.0009
0.152,0.001,0.0,0.0
0.0,0.0,0.0351,0.0003
0.0279,0.0002,0.1823,0.0012
0.0,0.0,0.1231,0.0009
0.0,0.0,0.0304,0.0002
0.1431,0.001,0.1468,0.001
0.0816,0.0006,0.0,0.0
0.1143,0.0008,0.1344,0.0009
0.0798,0.0006,0.1793,0.0012
0.1422,0.001,0.0308,0.0002
0.0431,0.0003,0.0,0.0
0.0718,0.0005,0.0002,0.0
0.0905,0.0007,0.1457,0.001
0.1232,0.0009,0.2165,0.0014
0.0,0.0,0.0915,0.0007
0.0253,0.0002,0.0223,0.0002
0.0123,0.0001,0.1223,0.0009
0.0485,0.0004,0.0,0.0
0.0668,0.0005,0.3324,0.002
0.1344,0.0009,0.0272,0.0002
0.1431,0.001,0.221,0.0014
0.1273,0.0009,0.013,0.0001
0.0014,0.0,0.0,0.0
0.0281,0.0002,0.1536,0.001
0.002,0.0,0.2636,0.0016
0.112,0.0008,0.1134,0.0008
0.1311,0.0009,0.1171,0.0008
0.145,0.001,0.0525,0.0004
0.1482,0.001,0.2238,0.0014
0.0003,0.0,0.1594,0.0011
0.0,0.0,0.0666,0.0005
